Index,Employee_ID,Age,Department,Is_Manager,Join_Date,Experience,Salary
0,8794,60,Finance,FALSE,24-03-1994,30,238668
1,8222,28,Sales,TRUE,08-12-1979,13,105995
2,7643,30,Marketing,FALSE,25-09-1998,11,96120
3,2737,38,HR,TRUE,23-11-2011,20,153525
4,8557,61,HR,TRUE,08-10-1976,31,249192
5,8484,31,Marketing,FALSE,07-06-1982,14,112443
6,5854,64,Finance,FALSE,12-11-1981,33,269150
7,6012,33,Finance,FALSE,28-09-1983,13,99541
8,7462,34,Finance,FALSE,22-01-2021,15,119128
9,7276,23,Finance,FALSE,03-10-2014,11,83249
10,6621,51,IT,TRUE,12-03-1974,26,201259
11,7461,43,IT,TRUE,08-06-1991,17,144477
12,4181,33,Finance,TRUE,22-04-2015,18,148126
13,9770,64,Marketing,FALSE,07-08-1984,29,237357
14,9138,41,Finance,TRUE,17-11-2004,19,158446
15,7182,30,Marketing,TRUE,04-11-1982,15,124601
16,9901,60,IT,TRUE,22-03-2001,27,209673
17,9684,25,Finance,FALSE,23-11-2023,11,88325
18,6645,30,Marketing,FALSE,02-05-2002,14,117761
19,4049,45,IT,TRUE,09-10-1992,24,193695
20,7857,56,Finance,TRUE,13-05-1973,27,223718
21,3757,32,Finance,TRUE,31-10-2009,16,136877
22,9062,49,Sales,TRUE,29-07-2013,24,201355
23,4459,52,HR,FALSE,12-06-2014,25,197155
24,2444,43,IT,TRUE,13-02-1985,22,181254
25,3005,56,Sales,TRUE,13-03-2009,24,197009
26,6797,47,IT,TRUE,20-03-1996,26,201648
27,5040,37,HR,TRUE,13-02-1972,22,186028
28,9477,54,IT,TRUE,10-03-2008,26,201094
29,3555,48,Sales,TRUE,01-07-1980,25,192419
30,3490,28,IT,TRUE,02-09-2004,13,103102
31,3637,62,Marketing,TRUE,13-01-1976,31,248038
32,9629,44,Marketing,TRUE,22-07-1994,22,178656
33,6809,40,IT,TRUE,09-08-1976,19,149831
34,8660,34,HR,TRUE,03-03-2019,17,137180
35,3840,45,Sales,TRUE,15-11-1972,22,173071
36,8354,45,Finance,FALSE,28-09-1971,22,177939
37,9487,37,Sales,FALSE,06-08-2024,14,115812
38,1501,47,Marketing,TRUE,17-09-1988,21,159633
39,3766,30,Marketing,TRUE,23-06-1977,16,132927
40,6867,47,Sales,FALSE,10-08-2008,26,208357
41,3272,22,Sales,TRUE,16-09-1994,12,98088
42,9299,45,Sales,FALSE,04-02-2021,20,162526
43,3681,48,Finance,TRUE,20-02-1974,23,182251
44,1311,51,Sales,TRUE,21-04-2022,27,222715
45,7563,31,Finance,FALSE,11-01-1982,17,133435
46,1977,38,Finance,FALSE,11-05-2019,18,130398
47,2765,40,Sales,TRUE,14-01-2000,21,164496
48,1385,42,Finance,FALSE,01-09-2006,19,158595
49,4113,64,Marketing,FALSE,09-06-2012,30,236259
50,8791,50,Sales,TRUE,15-04-1975,22,174905
51,7925,44,HR,FALSE,18-12-1994,21,161581
52,9867,50,IT,TRUE,22-10-1987,27,210865
53,3086,46,IT,TRUE,08-02-2020,23,187209
54,2797,51,IT,TRUE,07-11-2013,27,216483
55,2514,63,IT,FALSE,12-03-2003,31,241732
56,5404,22,IT,TRUE,21-05-1974,13,100085
57,7609,48,HR,FALSE,11-04-1990,24,196599
58,4788,53,Sales,FALSE,20-06-1987,25,203758
59,1607,59,IT,TRUE,19-10-1976,32,254771
60,4605,53,Finance,TRUE,18-09-2008,28,221350
61,9897,60,Finance,FALSE,21-08-2004,28,227840
62,6593,30,Finance,FALSE,24-09-2008,15,118126
63,2340,32,Sales,FALSE,01-04-1976,15,124811
64,5328,34,IT,FALSE,25-06-2005,17,138134
65,5037,36,Finance,FALSE,25-05-2000,16,127124
66,4527,44,Sales,FALSE,08-05-1976,19,151056
67,6286,40,Finance,FALSE,21-06-2002,18,135177
68,3154,31,Marketing,TRUE,28-01-1997,12,99214
69,9819,35,Sales,FALSE,04-08-2019,17,133866
70,3438,32,IT,TRUE,04-06-1974,16,127570
71,8337,35,HR,TRUE,11-05-1991,19,140250
72,7233,51,Sales,FALSE,07-02-1992,27,212800
73,7073,50,HR,FALSE,04-09-1992,23,191346
74,6850,36,Marketing,TRUE,24-03-1997,20,160278
75,7191,52,Sales,TRUE,10-05-1983,27,217985
76,5208,36,IT,TRUE,16-12-2022,20,172798
77,5116,26,IT,FALSE,23-02-1971,15,120869
78,6328,45,Sales,TRUE,29-02-1980,23,186135
79,3538,27,HR,FALSE,16-06-2013,12,107313
